id,category,sub_category,question_text,answer_type,answer_options,explanation,parent_id,trigger_value
1,General Information,Survey Info,Data Sheet ID,TEXT,,,,
2,General Information,,UC Name,TEXT,,,,
3,General Information,Contact Info,Information Provider Name,TEXT,,,,
4,General Information,,Contact Number,TEXT,,,,
5,General Information,,Information Provider Designation,MULTIPLE_CHOICE_SINGLE,,,,
6,General Information,,PHE Personnel Name,TEXT,,,,
7,General Information,,PHE Personnel Designation,TEXT,Operator|Valve man|Watchman|Local resident,,,
8,General Information,,PHE Personnel Contact,TEXT,,,,
9,General Information,Scheme Info,Name of Scheme,TEXT,,,,
10,General Information,,Village,TEXT,,,,
11,General Information,,Tehsil,TEXT,,,,
12,General Information,,District,TEXT,,,,
13,General Information,,Scheme Owner/Department/Donor,TEXT,,,,
14,General Information,,Scheme Design Population,TEXT,,,,
15,General Information,,Total Number of Staff Appointed on Scheme,TEXT,,,,
16,General Information,,Scheme Current Population,TEXT,,,,
17,General Information,,Service Area Details - Households,TEXT,,,,
18,General Information,,Service Area Details - Schools,TEXT,,,,
19,General Information,,Service Area Details - Health Facilities,TEXT,,,,
20,General Information,Site/Conditions Info,Access to Site,MULTIPLE_CHOICE_SINGLE,Easy|Moderate|Difficult|Restricted,,,
21,General Information,,Temperature During Visit,MULTIPLE_CHOICE_SINGLE,<0 deg C|0 to 10 deg C|11 to 20 deg C|21 to 30 deg C|30 to 40 deg C|> 40 deg C,,,
22,General Information,,Weather During Visit,MULTIPLE_CHOICE_SINGLE,Clear|Cloudy|Rain|Dust storm|Extreme heat,,,
23,Source Information,Operator Info,Operator/Watchman Room Exists?,YES_NO,,,,
24,Source Information,,Condition of Operator Room,TEXT,,,,
25,Source Information,Pump Info,Pump Coordinates - Latitude,TEXT,,,,
26,Source Information,,Pump Coordinates - Longitude,TEXT,,,,
27,Source Information,,Pump Elevation (m),TEXT,,,,
28,Source Information,,Direct Pumping,YES_NO,,,,
29,Source Information,,Functionality,YES_NO,,,,
30,Source Information,,Year of Installation,DATE_YEAR,1900|2026,,,
31,Source Information,,Year of Operation,TEXT,,,,
32,Source Information,,If No provide reason,MULTIPLE_CHOICE_MULTI,Pump Room damaged|Discharge reduced|Excessive draw down|Water quality issue|Social issues|Pumping machinery failure,,,
33,Source Information,,Drilling/Bore Log Available?,YES_NO,If yes attach copy/photo,,,
34,Source Information,,What Type of Activities Exist in the Catchment?,MULTIPLE_CHOICE_MULTI,Industry/Industrial zone/cottage industry|Residential settlements/housing schemes or informal settlements|Economic or commercial zones|Agricultural and Farming|Forest and wildlife|Dam/Treatment plant or Wastewater treatment facilities|Mining|Close to coastal areas|Major transportation corridors|Tourism/recreational activities|Landfill site/abandoned chemical/drug/pesticide/nuclear warehouses or sites|Other,,,
35,Source Information,,What Type of Sanitation is Common in the Catchment?,MULTIPLE_CHOICE_MULTI,Open defecation|Sewer system|Soak pit|Septic tanks|Other,,,
36,Source Information,,Is There Space for Decentralized Water and Wastewater Treatment Facilities?,YES_NO,If yes specify,,,
37,Source Information,,Contamination Sources Near Source?,YES_NO,If yes: Drain|Latrine|Animal area|Agriculture|Solid waste|Other,,,
38,Source Information,,How Many Water Supply Schemes Draw Water from the Same Catchment?,TEXT,,,,
39,Source Information,,Name of Places Located in Subbasin/Catchment?,TEXT,,,,
40,Source Information,,Distance of Activities from the Abstraction Point,MULTIPLE_CHOICE_SINGLE,<30m|30 to 100m|100 to 500m|>500m,,,
41,Source Information,,Odor/Appearance at Source - Any Smell in Water,YES_NO,,,,
42,Source Information,,Odor/Appearance at Source - Water Appearance,MULTIPLE_CHOICE_SINGLE,Clear Water|Colored Water|Muddy Water,,,
43,Pumping Room Condition,Room,Pump Room,YES_NO,,,,
44,Pumping Room Condition,,Pump House Security,MULTIPLE_CHOICE_MULTI,Boundary wall|Fence|Door lock|Watchman|Not available,,,
45,Pumping Room Condition,Dimensions,Pump Room Dimension - Length (m),TEXT,,,,
46,Pumping Room Condition,,Pump Room Dimension - Width (m),TEXT,,,,
47,Pumping Room Condition,,Pump Room Dimension - Height (m),TEXT,,,,
